list_source,api_developer_name,distinct_url_count
https://1up.health/fhir-endpoint-directory,1upHealth,40
https://306056.fs1.hubspotusercontent-na1.net/hubfs/306056/ICP_R4.json,Nextech,1
https://306056.fs1.hubspotusercontent-na1.net/hubfs/306056/NexCloud_R4.json,Nextech,1
https://ac-fhir.harrisambulatory.com/endpoints/r4,"CareTracker, Inc.",1134
https://admin.carefluence.com/onc/servicebaseurl.json,Carefluence,1
https://admin.nthtechnology.com/fhir_endpoints.php/json,"Nth Technologies, Inc.",18
https://aidbox.cx360.net/service-base-urls,Core Solutions Inc,1
https://akpc.tronshealth.com/fhirv4.0/fhir/R4/Endpoint,TronsHealth LLC,1
https://altheafhir.mdsynergy.com/getBundleJson,"MD Synergy Solutions, LLC",1
https://api-datamanager.carecloud.com/fhirurl/Organization,"CareCloud Health, Inc.",1
https://api-datamanager.carecloud.com/fhirurl/Organization,"CareCloud, Inc.",1
https://api-datamanager.carecloud.com/fhirurl/Organization,Meridian Medical Management,1
https://api-gateway.alpha.awscarbonhealth.com/hapi-fhir/fhir/Bundle/$publication,"Carbon Health Technologies, Inc.",2
https://api-portal.navigatingcare.com/service-base-urls,"Navigating Cancer, LLC",1
https://api.azaleahealth.com/fhir/R4/Endpoint,Azalea Health,18
https://api.cbh4.crediblebh.com/fhir,"Qualifacts Systems, LLC",617
https://api.commure.com/fhir/onc/base.json,Commure (d/b/a Athelas),1
https://api.cybermedehr.com/endpoint-bundle,Cybermed Health Inc,1
https://api.enablemyhealth.com/api/r4/Groups,EnableDoc LLC,1
https://api.geniusdoc.com:4434/GDAPIData/EndpointBundle,"GeniusDoc, Inc.",1
https://api.medconnecthealth.com/fhir/r4/endpoints,"MedConnect, Inc.",22
https://api.mhdi10xasayd.com/medhost-developer-composition/v1/fhir-base-service-url-bundle,MEDHOST,128
https://api.moyae.com/service-url,"Moyae, Inc.",1
https://api.novoclinical.com/.well-known/bundle,"NovoMedici, LLC",1
https://api.paragonfhir.com/endpoints,Altera Digital Health Inc.,1
https://api.qualifacts.org/api/fhir/r4/endpoints,"Qualifacts Systems, LLC",479
https://api.sevocity.com/api/patients/v1/Endpoint,"Sevocity, a division of Conceptual MindWorks, Inc",454
https://apidocs.onemedical.io/1LifeServiceBaseURLBundle.json,"1Life Healthcare, Inc",1
https://apigateway.emdscloud.com:7443/infor/CustomerApi/fhir/g10,CompuGroup Medical US,1
https://app-70202.on-aptible.com/endpoints,Healthie,1
https://app.azaleahealth.com/fhir/R4/Endpoint,Azalea Health,25
https://app.meldrx.com/api/Directories/fhir/endpoints,Darena Solutions LLC dba Darena Health,1570
https://app.smartemr.com/fhir_sburl/,"VIPA Health Solutions, LLC",1
https://applications.op.healthcare/api/v2/atlas-format/Endpoint?_revinclude=Endpoint:organization,Office Practicum,1
https://apps.ehana.com/kapu/fhir-server/ValidURLs.json,eHana,1
https://appstudio.interopengine.com/partner/fhirR4endpoints-criterions.json,Criterions Software Inc,8
https://appstudio.interopengine.com/partner/fhirR4endpoints-ezdocs.json,Dexter Solutions Inc,9
https://appstudio.interopengine.com/partner/fhirR4endpoints-mednetmedical.json,MedNet Medical Solutions,2
https://appstudio.interopengine.com/partner/fhirR4endpoints-universalehr.json,"Universal EHR, Inc.",2
https://appstudio.interopengine.com/partner/fhirR4endpoints-zoobook.json,Zoobook Systems LLC,1
https://auth-api.dev.careexpandcloud.com/fhir/service-base-urls,Careexpand LLC,1
https://axeium.net/g10.json,Brilogy Corporation,1
https://beta.afoundria.com/api/fhir/urls/downloadJSON,"ChartPath, LLC",1
https://bill.medgenehr.com/MedgenAPI/medgenbundle.json,Comtron Inc.,1
https://bpp.api.prod.bridgepatientportal.com/fhir/r4/service-base-url,Bridge Patient Portal Inc.,1
https://carepaths.com/uploads/org_endpoint_bundle.json,Carepaths Inc,958
https://code.medicasoft.us/fhir_r4_endpoints.json,"MedicaSoft, LLC",1
https://continuumcloud.dynamicfhir.com/fhir/r4/endpoints,"Welligent, Part of the ContinuumCloud",4
https://ct-fhir.harrisambulatory.com/Endpoints/R4,"Harris CareTracker, Inc",837
https://dev-fhir.cinch-project.com/fhir,Unity Health,1
https://developer.bcbsfl.com/interop/interop-developer-portal/product/396/api/375#/CMSInteroperabilityPatientAccessMetadata_100/operation/%2FR4%2Fmetadata/get,Unknown,1
https://developer.bcbsfl.com/interop/interop-developer-portal/product/399/api/378#/CMSInteroperabilityPayer2PayerOutboundMetadata_100/operation/%2FP2P%2FR4%2Fmetadata/get,Unknown,1
https://developer.cigna.com/docs/service-apis/patient-access/implementation-guide#Implementation-Guide-Base-URL,Unknown,1
https://developer.kp.org/#/apis/639c015049655aa96ab5b2f1,Unknown,1
https://developerportal.aetna.com/fhirapis,Unknown,1
https://developers.aaneelconnect.com/FHIR-R4-Endpoints-Bundle.json,AaNeel Infotech,1
https://devportal.techcareehr.com/ValidURLs.json,"NaphCare, Inc.",1
https://dhfhirpresentation.smartcarenet.com/fhir/r4/endpoints,Streamline Healthcare Solutions,151
https://dhpresentation.youruprise.com/fhir/r4/endpoints,VisionWeb,4
https://docs.canvasmedical.com/assets/static/fhir-service-base-urls-production.json,"Canvas Medical, Inc.",76
https://docs.fire.ly/projects/Firely-Server/en/latest/_static/g10/EndpointBundleFirely.json,Firely USA Inc.,2
https://doxpodfhir-prod-cus-app01.azurewebsites.net/api,DOX EMR,14
https://drchrono-fhirpresentation.everhealthsoftware.com/fhir/r4/endpoints,drchrono Inc.,111
https://drsdoc.com/ValidURLs.json,"Keiser Computers, Inc.",1
https://dynamicfhirpresentation.dynamicfhirsandbox.com/fhir/r4/endpoints,"Dynamic Health IT, Inc",11
https://ehealthline.com/FHIRservice%20Base%20URL%20EHL.json,"E*HealthLine.com, Inc.",1
https://ehifhir.ehiconnect.com/fhir/r4/endpoints,Enable Healthcare Inc.,219
https://ehrwebapi.cutecharts.com/radywebapi/endpoint,"Radysans, Inc",1
https://ehryourway.com/content/fhir-service-urls.json,"Adaptamed, LLC",2
https://emrfhirpresentation.aarista.com/fhir/r4/endpoints,Aarista Technology LLC,2
https://ensorahealth.com/onc/echo/fhir/r4/Endpoint,The Echo Group,1
https://facilityportal.vohrawoundteam.com/vohra-service-urls.json,"Vohra Wound Physicians Management, LLC",1
https://falcon.imperiumsoft.biz/docs/FhirBaseURL/falcon-service-base-urls.json,HCRCM LLC,1
https://fhir-api.golunar.com,"Lunar Systems, Inc.",448
https://fhir-apis.meditech.com/v1/brands,"Medical Information Technology, Inc. (MEDITECH)",464
https://fhir-app-portal.aidbox.app/service-base-urls,"Health Samurai, Inc.",28
https://fhir-dev.cloudmd365.com/public-base-url-info,"Softbir, Inc.",1
https://fhir-dev.edvak.com/fhir/.well-known/service-base-url.json,Edvak Technologies Inc,1
https://fhir-server.sam.wrs.dev/r4/ServiceBase,WRS Health,1
"https://fhir-service.medicscloud.com/r6/DA/get-clients-end-points
https://fhir-service.medicscloud.com/r6/mc/get-clients-end-points",Advanced Data Systems Corporation,1
https://fhir-servicebaseurl.fhirhlprod.greenwayhealth.com/servicebundle.json,"Greenway Health, LLC",1366
https://fhir-usa.unify.chbase.com/.well-known/endpoint,"TruBridge, Inc.",479
https://fhir.10e11.com/fhir/r4/endpoints,TenEleven Group,6
